,userName,content,score,manualSentimentLabel
1971,Ξ〘_нαят๏м๏_〙Ξ Hasbi,"tolong dilengkapi dengan tajwid berwarna, untuk membantu dan memudahkan dalam membedakan hukum-hukum tajwid bagi kami yg baru blajar.",3,0
1972,ZakiyAdiba Family,"Tolong di tingkatkan lagi, kualitas produk cerminan kualitas sdmnya.",2,0
1973,Somma Rosy,Bagus tetapi tafsirnya terlalu kecil  dlm tulisan  di tablet 10 inchi saja terlihat kecil apalagi di hp loading terlalu lama mhn di sempurnakan trm ksh,1,1
1978,Azhar Rahman,"Sangat membantu, mohon perbaikan : bingkai diperkecil, ada pewarnaan huruf2 khusus spt panjang pendek bacaannya, penambahan bookmark, penambahan murottal, bisa dibaca offline, terimakasih..",3,1
1981,Akmal Mustajab,Kurang praktis buka halamanya lelet dan hurufnya terlalu kecil untuk hp ukuran 3 inchi ke bawah tp tshniah buat Kemenag RI yg telah mengikuti era digitalisasi mudah2an ke depan lebih baik.,3,0
1988,Ahmad Jumaili,Saat buka lembar2 ayat loadingnya lama...kemudian pencarian juga gag menarik. Coba dibuat lebih ringan,2,0
1991,Asahid TehYung,"Aplikasinya masih agak kurang praktis, masih kalah ama app tetangga. Dibuat simple lagi..  Liat app yg myQuran Ina bagus tuh. Tapi ok lah untuk tafsir nya",3,0
1992,Ardi Septiawan,"font mushaf kecil banget gak kebaca, perlu adanya menu download full content al quran, jadi bisa dipake di posisi offline data.",2,0
2001,Pengguna Google,"alhamdulillah telah hadir alquran dr kemenag, mari kita dukung, tapi mohon ditingkatkan lagi menunya, huruf tidak dapat diperbesar, susah untuk dibaca karena tulisannya terlalu kecil, dan juga loadingnya lama.",3,1
2014,YOGI 1201,"Sangat membantu, loading lembaran halaman agak lama, mohon di tingkatkan.",3,1
2015,dadang supriyadi,"Tolong tambah pengaturan, spt, ukuran teks, dll, krn menurut saya teksnya agak kekecilan, dan loadingnya jangan terlalu lama, krn klo lagi baca yaasin, gak mungkin nunggu loading dulu, klo hafal si gak masalah, takutnya yang blm hafal, nanti jadi keder",3,0
2021,Muhammad Agus,"Masih kalah jauh dengan quran tajwid indonesia yg dibuat penerbit cordoba bandung, bisa posisi landscape",2,0
2022,Indra Gusman,"Sudah ok, tapi penulisan ayat nya masih kecil,bingkai terlalu besar...",3,1
2024,Mahfan,Alhamdulillah telah hadir mushaf standar Indonesia dg tashih nya. Namun kalo boleh saran; bingkai nya terlalu besar sehingga memakan space yg ada.,3,1
2031,Sarwo Edhi,"Zaman IT, semua harus mengikuti. Semoga dg media ini umat lebih cinta pada Al Qur'an",3,1
2041,Aulia Aal,Mungkin lebih baik dibuat offline juga. Mohon dipertimbangkan.,2,0
2057,januar ago,terlalu kecil repot bacanya,2,0
2061,Rizal Abdillah,"Masih ada yg lebih baik,yg bisa di pakai offline dan ada fitur tajwid",2,0
2069,Rofi' El Hikam Channel,"Ustadz A.Munawar dkk, mantapp aplikasinya. saran : tombol gulir/navigasi blm tersedia biar cpt menuju ayat tertentu dlm 1surah, font terlalu kecil dan blm ada fitur zoom, masih online ko, menu searching teks Arab atau terjemah blm tersedia, stok qaari hanya 1, menu pilihan tampilan Mao ayat/terjemah aja apa tampil keduanya, klo perlu ada menu bookmark/favorit untuk nandain ayat2 tertentu... ditambah tajwid Ok jg tuh. Semoga versi berikutnya lbh lengkap... BIAR JADI KEBANGGAAN MUSLIM INDONESIA khususnya...",3,1
2078,Agus Riyanto,Tiga bintang dulu,1,0
2082,Fathur Rahman,"Fontnya di gedein, hiasan pinggir ketebalan tuh.",3,0
2087,rahman zain,Aplikasinya banyak bug. Memangnya belum di tes ya sebelumnya.,1,0
2089,Arif rahman idris,Aplikasi baru masih banyak perbaikan,2,0
2091,Sail Mubarrak,Masih banyak yg harus di sempurnakan.,1,0
2093,Muhammad Aulia Abdillah,Semoga utk offline segera hadir.Kalau perlu pakai translete.,3,0
2094,anilatin naira,Harus segera di semphrnakan aplikasinya,1,0
2097,Fahruraji,"Navigasi msh sulit, klik surah Al Fatihah yang keluar surah yang lain. Asbabun Nuzul seperti yang dijanjikan sebelum launching tidak disertakan dalam aplikasi. Semoga bisa mengambil contoh dari aplikasi Quran Tafsir Pro",3,0
2098,Istiqomah El Fansa,"Tampilannya ga seperti di gambar,saya klik juz 1 eh yg keluar malah bukan srt al fatihah mlh surat jaatsiayah",2,0
2099,EKO GUNAWAN GUNAWAN,Jgn online uda bagus tapi sayang banget engga bisa ofline,1,0
2100,Nuraini Salsabila,"Aplikasi nya jadikan offline masak kalah sama aplikasi serupa,punya kemenag lo kok online,jadi males buka nya",1,0
2102,Pengguna Google,"Kurang luwes. Ga ada list untuk riwayat atau simpan faforit. Bingkainya tipis aja biar font hurufnya bs lebih besar. Jd lebih jelas harokatnya, tanpa harus ngezooom.",2,0
2106,poer wono,Tolong dong di bikin pilihan langsung fownload semua jus agar bisa offline,1,0
18,Abdoel Qodier,"ribet, sering minta update. memang sering bermasalah???!! duh, tambah ribet. Selangkah lagi, layak di uninstall, tunggu aja",1,0
37,Ary Sudargo,The Arabic words is too small,3,0
50,Arlan Saputra,Gak bisa adzhan pas waktu sholt,1,0
53,Ros Nov,"Good apps and like it, Free and Easy to use. Semoga tetep bisa free untuk orang yg ingin belajar dan setiap saat pada saat jam sibuk jd gampang tinggal buka hp jika ingin belajar quran ??",3,1
84,Indonesia Society,Azan ga nyala mulu,1,0
137,Human Named Aisyah,"Assalamualaikum, Aplikasi nya emang berguna, tapi ada iklan, udah gitu disuruh update mulu padahal udah update, terus juga tolong tambahin fitur mencari surah terimakasih, wassalamu'alaikum",3,1
171,Dina Malik,Tdk install di Red Mi 10. Hanya mentok di 98% terus gagal.,1,0
220,Mulyadi R Munandar,Kenapa terjemahan al msidah ayat 51 berbeda ? Dirubah atau salah cetak ?,3,0
232,Titik Nol,"Kenapa notif adzan skrg ga bunyi? Kemarin² Kadang adzan kadang engga, sekarang malah ga bunyi sjk saya pindah kota. Tolong diperbaiki terimakasih",2,0
233,Tika 24e,I cant install this app on my pc from android emulator. Please fix it or help me.,1,0
240,wkwkek,"Bagus si, cuma habis update ko malah ke reset semua murottal nya padahal udah donlot hampir semua, habis in kuota aja si !",1,1
257,D'Gamerz 9,"suara adzan tolong diperbaiki bitrate nya dengan kualitas yang lebih bagus, karena sakit di telinga kalau pakai headset",1,0
269,ALLEN NEAL JONES,Well,3,1
280,Kartina Sattu,To Feb be lol oo you too baby pi,2,0
288,Riki sayiddela Riki,I love allah,1,0
290,aluh kaciput,"Tolong di filter lg iklan yg timbul, masa Al-Qur'an iklan yg keluar tidak senonoh",1,0
352,Muhammad iftikhar,This is helping me do namaz,1,1
371,Dewanggi Agsha,"Penambahan menu kecepatan pada menu pembacaan murottal cukup mengganggu. Untuk kecepatan normal jedanya sangat lama, saat diubah kecepatan ke mode cepat, pembacaan tidak enak didengarkan karena terlalu cepat meskipun jadi tidak ada jeda. Tolong perbaiki.",3,0
387,Family J,surah annas nya kok gak ada min??,3,0
403,Rohimakusuma Adenita,Terlalu sering update,3,0
408,Party Party,B3n.,2,0
416,Sik Sik,"Saya awam ... search nya susah mencari surat al mukmin ... saya mencari di google baru ketemu .... ???????, jadi kalau orang awam .. informasi nya tidak lengkap",1,0
441,Syahri Sari,Too many anoying ads,3,0
468,Andi Patombongi M,keren ini aqq,1,1
477,Bangga Karanganyar,Kurang komplit dikit,3,0
490,audicinta88,"Perekaman saat pindah ayat kurang pas, sering lompat2. Rekaman suara tdk stabil, sering turun naik",2,0
504,Ryan Rinaldi,"Please check Surah Yusuf at 24, it's different from th others",2,0
524,ginz_ scarlet_pumpernickle,"Menurut saya bacaan Qur'an dalam latin tidak ada harakat ""O"", ex : Alloh. Saya lebih prefer All?h. Kalau seluruhnya diperbaiki mungkin saya akan download kembali dan akan sarankan ke seluruh ummat. Selebihnya sangat bagus. saya sangat appresiasi dgn aplikasi ini. Terima kasih",1,1
535,sigit dwi putranto,Tidak bisa mencari ayat yang kita mau,1,0
556,ANP WA,Search nama surat kok gak ada ya ?,3,0
583,Udi Channel Udi,Belum bisa copy banyak ayat terjemah saja. Harus 1 1,1,0
616,Muhamad Luki Munandar,The synchronization is terrible,1,0
656,kusharto kusharto,Good app but after update the kiblat direction does not work,3,1
686,fadhilah akmaldika,"Bisa ditambahkan tajwid berwarna? Sama arti perkalimat, terimakasih",1,0
830,Deddy Chandra,Ini gmana system pembayarannya? Dulu pernah dah dibayar kok skrg muncul lg iklannya?,1,0
851,Surahman Ihok,Many AD,1,0
869,M I T,"Assalamualaikum mas Andi, tambah fasilitas cari nama surat. Jazakallah",3,0
903,Forqan,Excellent,1,1
914,Muhammad Farhan,Ok,3,1
928,Mar'atus Sholikah,Kompas arah kiblat tidak berfungsi,3,0
935,Muhammad Dicky Hidayat Latif,"Is very good Alquran app, but now we cannot control when we wanna backup and restore the bookmark, the update say is automatically backup the bookmark on Google account but there is no option for how we can sync between devices, so we can only logout the account and login back but sometimes is not actually sync, because we do not know when last sync, different with previous version when we have completed control on when we want to sync and restore data and there is also info regarding when last",3,1
978,suhesti ees,Jelek??,1,0
993,Mahendra Dwi Arnanto,Llm . .... P .n.MO,2,0
1044,LINDA SOFIA,Good,1,1
1065,Yusuf Ar,The bookmark page returns to the top again after i click.,1,0
1068,Bagus Setyobudi,"Sangat tdk recommended, ketika buka arah kiblat membuat hp tiba2 ngeblank.",1,0
1081,Yezkthesulf,jeleks,1,0
1172,Zahra Aulia,Bermanfaat,1,1
1183,geo fisika,"Aplikasi sangat bagus, hanya 1 kekurangannya, di tempat search itu sepertinya tidak berguna, saya mencari surat Al-Qiyamah, dan selalu ada tulisan ""maaf kata kunci Al-Qiyamah tidak ditemukan"", bukan al qiyamah doang, tapi saya mencari surat dengan kolom search ga bisa, terimakasih",3,1
1239,Risa oktaviana,Al quran baik untuk masuk surga man robbuka,1,1
1243,Siena Ikhsan Suadi,"Font Al Qur'an nya enak dibaca, desain mukanya juga bagus, sayangnya terdapat pemotongan kata dalam penulisannya, misal ????? di pisah menjadi ?? ??? Padahal dalam membaca Alquran ketika salah dalam pemotongan dapat menyebabkan salah makna, semoga terdapat perbaikan",3,1
1256,iskandar olii,no sound,1,0
1297,Umar Alfaruq,Ini mau cari duit apa amal? Gw nanya soal aplikasi karena ga mau buat aplikasi Quran kok gk dijawab seperti takut ada saingan,1,0
1323,Dade Pegassus,Ok,1,1
1363,Indri Pujilestari,Setelah update layoutnya agak mengganggu karena terlalu ke kanan awal ayatnya jdi awal huruf setengah keptong,3,0
1466,Ayu Mei,"Fitur adzan tidak berfungsi di samsung M21, sudah diatur di pengaturan tuk push notifikasi dan sebagainya tapi tetap tidak bisa, dan arah kiblat kurang akurat",2,0
1496,yaumil putra,Too frequent an update. If you cannot understand this message then you do not understand english.,1,0
1533,robotfintar ™,"Saya alhamdulillah memakai app ini sudah lama, dan saya udh pernah kirim pesan ke admin utk menambahkan agar huruf al quran nya dapat bisa diperbesar lagi, yg skr ada walau sudah besar tp msh belum bs terbaca dgn baik, krn mata saya msh membaca sedikit buram. Tapi 2x update blm juga ada perubahan dapat diperbesar.",2,1
1614,fakir ilmu fakir ilmu,The qibla finder is not working,2,0
1674,Puput Nur Aini Puput Nur Aini,Seneng bngt mudah cepet jelas lagi,3,1
1676,Raynika Nicole,Banyak iklannya ugh,1,0
1692,Erina Adelia,Kenapa gak bisa donlot,1,0
1717,Yahya Biasa,"apps yg amat berguna, simpel, dan memudahkan .. mohon dikorekai pda sedikit problem berikut: pada menu baca surat, ketika memilih surat apapun, selalu diarahkan ke al-baqarah ...",3,1
1742,Irman Maulana,"overall bagus, cuma di fitur jadwal sholat sering ngebug refresh² nggak jelas sampe bikin ngelag",2,1
1743,Bukhari Daud,Iklannya berisik... Bikin malu di Masjid habis baca langsung keluar musiknya.. :(,1,0
1799,Cg ecah,siti nur .humaira,3,0
1825,cissy aninditha,"Saya mencoba download di android 4.2.2 , tapi kenapa opsi untuk tajwid berwarna tdk muncul ya??",3,0
1876,ani abd,"so far ok, tp di tab juz, klik juz 25 yang muncul juz 18. mohon info itu knp ya. udh di update jg apps nya",3,1
1891,bdx alfi,"Apaan ada iklan yang tidak pantas untuk sebuah aplikasi kitab suci, dan juga ada donasi alias berbayar agar iklan menghilang",2,0
1915,Dedy wag4yudin,bagus bangnget sangat membantu saya,3,1
1943,Thomas Mbata,"The application is good but the only problem is that,there's no English translations",3,1
1955,Nie Utama189,"Hpnya gak dipegang adzannya tiba² mati... Kok bisa? Jangan iklan aja dibanyakin, develop lagi appnya...",1,0
1974,Viana Pandiangan,"Sebelum diupdate, dimenu awal bisa dirotate 180°. Setelah diupdate jadi tidak bisa, ini menyulitkan saya dg keterbatasan perangkat yang saya miliki. Apakah bisa dikembalikan dari menu awal (terakhir dibaca, baca Alquran, dst) bisa dirotate kembali?",3,0
2004,Okitds,Alhamdulillah sangat bermanfaat. Saya beri saran untuk audio Syaikh Mishary Rasyid surah An-Naba' agar diganti lebih jernih lagi audionya. Karena yang sekarang terdengar pecah dan jelek kualitasnya. Thanks.,2,1
2086,Emmy Hasan,"Mengapa suara azan magrib di hp saya tidak lengkap sp habis?, sedang azan 4 waktu yg lain ok",3,0
2137,Ketryn Agatha,Petunjuk arah kiblat ngak gerak !,1,0
2145,qris.th_an,Assalamualaikum Mohon murottalnya d perbaiki agar bisa berjalan d latar belakang,3,0
2146,Zahra Andhissa,Sedih banget tiap update langsung ga ke save terakhir baca nya jadinya harus ulang lagi...,2,0
2150,Alschick Cipulir Permai,z q eww q and the way I was in my mom and 1,1,0
2207,Rio Maulana,morotal terputus putus,2,0
2211,achmad suyono,Cepat lah,3,1
2230,Edi Bowo,Usefull,3,1
2268,fikri juli,"Minta izin akses file, data, & media. Untuk apa Bambaannnggg???.... Kalo izin akses lokasi masih masuk akal karena mungkin kaitan dengan waktu adzan",1,0
2309,Miftakhusy Syiroth,aplikasi yang sangat bagus dan bermanfaat. Versi ebook dari Alquran yg dinamis dan multifungsi. SARAN TAMBAHKAN FITUR ZIKIR PAGI PETANG DAN SEHABIS SALAT FARDHU.,2,1
2328,dhika al fatih,Ada iklannya,1,0
2410,amran syarifuddin,"Iklannya SANGAT SANGAT MENGGANGGU, terutama iklan video, saya dibuka di masjid, terdengar kemana mana. Mengganggu org lain.. trims.. Iklannya nggak menggangu, tapi SUARANYA yg mengganggu jemaah lain..",2,0
2413,Puteh Mller,Please upgrade compass for solat,1,0
2428,Muhammad Nur Rafli,Tolong ditambahkan widget jadwal sholat harian,2,0
2495,Mila Yuliza Fitri,Minta update terusssssa,2,0
2539,Neita Eve,"Saya suka tp tiap kali hp direset atau ganti hp, hilang semua data bookmark dan terakhir dibaca",3,0
2551,Yasfi,1. Tidak ada fasiltas pencarian nama surat. Saya sudah menyarankan sejak beberapa tahun lalu namun belum ditanggapi oleh developer. 2. Tafsir dari kemenag banyak menyisipkan kisah kisah Israiliyat yang kebenarannya sangat diragukan. Seperti cerita Qabil dan Habil.,3,0
2560,Janji Putra,Mantap,1,1
2564,dinny juliani,Kenapa ya di hp Asus sy adzannya ga bunyi trs?,3,0
2755,lucky zorro,kenapa adzan subuh jadi gak bunyi? tolong diperbaiki,3,0
2760,Rizal SF,I read al-Qur'aan almost everiday,1,1
2762,Tassamu Akhsan Nugroho,Untuk bookmark seharusnya bisa dikembangkan lagi dengan view folder yang bisa di collapse. Saya merasa kesulitan untuk melihat bookmark dengan folder bookmark yang berbeda karena harus scroll terlalu jauh.,1,0
2846,Ahmad Ihsan Amri,Sering error untuk jadwal sholat,1,0
2918,riza ismayaa,IKLAN,3,0
2931,Lilis Puspitasari,Kj Dalam,1,0
2941,riza rahman,Berisik bgt!!!!,1,0
2952,Azhar Haswidi,too many updates and nothing changes,3,0
2967,Eljie Dingzb,xhabis3 update,1,0
2985,Ikfi Khofifah,Kok setelah diperbaharui malah suka keluar sendiri Edit: Korelasi dengan restart hp itu apa???,3,0
3005,Talita Aghniya Sakhi,"Very good, I like to memorize the Quran while listening to the murals, there is one criticism, try to have a play speed, so you can speed up or slow down the reading, Hopefully it can be uploaded in the application about my criticism earlier .. thank you!",3,1
3012,Rene Vanesa,"Membantu, tapi pembaruan terus boros kuota",2,1
3061,resfiarto peppy,"Hp Asus Zenfone 2, GPS tidak bisa update di lokasi terkini, dan harus manual. Bagaimana cara agar update lokasi bisa otomatis update. Terima kasih",3,0
3096,Hadiid Hideo,"Saya tahu aplikasi membutuhkan iklan untuk membantu dana peningkatan kualitas, tetapi mungkin sebaiknya iklannya di mute saja, kalau lagi di Mushola sangat mengganggu",3,0
3155,JONO,Tes dlu,3,0
3213,Zaqy Wildan,"Gimana sih?! Saya udah download murotal Syaikh Mishari, tapi pas diupdate malah hilang semua downloadnya. Harus download ulang",2,0
3277,YUDHA YUBHARI,HP sy merk infinix belum bisa Adzan dan notifikasi secara otomatis. Harus dipancing dulu dg cara dibuka dulu aplikasinya. Mohon diberitahu caranya ya Admin. Syukron...??????,1,0
3383,Onida Nor Marsilani,Good but TOO MUCH UPDATES!!! Dikit2 suruh update,3,1
3400,Kikin Sodikin,Amazing,1,1
3459,Hendro Agus,"mau buka bookmark, tapi ga ada dimenu utama, biar ga ribet, enaknya sih bookmark ada dihalaman depan, kalo ada otomatis last read terdeteksi, pasti bagus sekali, trus untuk search menggunakan arabic masih belum bisa.. ya semoga lebih baik lagi.",3,0
3462,Zakhaev's Hub,Ini gimana sih udah gua update app nya tapi tajwid nya malah gak berwarna. Udah gw setel ulang tetep aja polos putih,3,0
3517,Armadelita Asrul,Hehehe,1,0
3546,Ahwan Febrian,"Some inappropriate ads popped up, may Allah forgive us. Can you fix it?",3,0
3666,Video Bermanfaat sangat aplikatif,"Buka dikit iklan, buka dikit iklan, hadeuh Terlalu komersil",1,0
3683,Ida Parida,good,3,1
3800,Steffi Adelin,"Assalamualaikum. Saya sudah lama menggunakan app ini dan selama ini saya nyaman menggunakannya. Tapi tiba2 audio semua surat (114 surat sudah saya download) tidak ada suaranya padahal tanda play disetiap ayat yang ingin didengar tetap ada. Muncul pop up yg mengatakan audio untuk ayat ini tidak ada, dan disuruh download lagi, tapi tidak ada respon. Apa yg salah ya? Mohon pencerahannya tim Al Quran Indonesia. Jazakallahu khairan",3,1
3807,Anti Stress,"???????????? ???? ???????? ????????? ?????????????? ??????? ???????????? ??????????? ??????????????.. (???? ???????) Bismillah, Assalamu'alaikum warrahmatullahi wabarakatuh, dengan berat hati udah download dan menggunakan lama aplikasi ini, sepekan terakhir iklan nya kenapa musik semua ya, admin? (Maklum ana hanya pakai yg free), at least ana uninstall, Jazakumullahu khairan.",1,0
3816,Pur Wanto,Kebanyakan iklan,3,0
3853,estie arifah,Suara adzannya nggak muncul. Bad.,1,0
3863,Abdi Kusuma,Kenapa kompas untuk arah kiblat tidak berfungsi lagi setelah ada pembaharuan aplikasi?,3,0
3895,tomi firmansyah,"Pada dasarnya sy suka dan berterimaksih dengan adanya apk alquran indonesia ini..namun belakangan,kok jadi sering muncul iklan ya?dulu sudh bagus dengan tidak ada nya iklan.",3,1
3897,Yuan Pramayuda,Kenapa iklan nya persugihan ??!!!,1,0
3911,Ma'mur Rezeki,"Assalamu'alaikum. Aplikasi ini sangat membantu bagi saya. Tapi sayang, feature alarm adzan kadang tidak berfungsi atau tidak muncul sama sekali. Padahal pengaturan di halaman jadwal sholat sudah tercentang hijau semuanya. Mohon untuk melakukan review. Buat Dev. nya Semangat ya, semoga apps nya makin bermanfaat untuk membantu kebutuhan kami/kita sebagai kaum Muslimin.",3,1
4015,brians fefifo,"Loading Murottal terlalu lama, masalah ini saya temukan di 2HP yg menggunakan Android 9 dan 10. Baik ketika masih free ataupun setelah donasi. Sangat mengecewakan, tolong segera dibenahi pada update selanjutnya, jangan hanya fix bug, fix bug gak jelas melulu. Terima kasih. Wassalamu alaikum wr.",3,0
4043,bayu seto,Slow,1,0
4080,Hatma Suryoharyo,"Sekarang, kebutuhan orang akan adanya fitur Waqaf Ibtida adalah tinggi. Ayo, buat supaya fitur ini ada seperti mushaf Quran As Shahib karya Ustad Arham Yasin Lc., terbitan Hilal Media. Sangat membantu kami yang bernafas pendek. Coba deh Anda cek.",3,0
4095,suryani suryani,l like,3,1
4098,Purwi Sasotya,Sangaaaaaaaaaaaaaaaaay bgs tetapi bohong hiyahiyahiya????????????????????????????????????,1,0
4100,Wahyu Widiarto,Today inapropriate advertisement shown right after reading quran. WorkoutWomen with bikini. How come? Totally not acceptable.,1,0
4106,Wahyu Widiyanto,"Setelah update terbaru, aplikasi ini malah tidak bisa dijalankan di hape xiaomi redmi note 5a prime, tertulis disitu adanya bug. Mohon bisa segera diperbaiki. Terima kasih",1,0
4108,Venty rahmawaty,Jelek banget aplikasinya lola mending baca quran asli gini ma aaaaaaa ahhhhhh,1,0
4134,Shahrin Abd Samad,The interface is nice .Easy to use,3,0
4147,Ima Halimatul awaliyah,Aq kasih tiga dulu,3,0
4234,Taufik Hidayat,Murotal sering mati jika layar hp ikut mati,2,0
4300,Aditya Syahputra,"Pretty good, but why's everytime I turned off the notification even once it wouldn't activate the next day",3,1
4323,Rayhan Rahman,r know when ok we us7 free we we do t holy Spirit jy the x can XXX xs r dad told d we are ddk ya f for fffffr stuff f for dyf you use D d ya try uc u is u s a g GT xt the x u see cdyyu in ya,3,0
4371,Fudzer M Huda,"Ketika play murottal pergeseran ayat ke ayat kurang smooth, terima kasih.",3,0
4375,Vasy,Tolong tambahkan fitur pencarian nama surat,3,0
4378,Shinta Dyah Permata,Good for all. Tp kok belakangan ini kiblatnya gak mau gerak ya? Jd susah klo mau cari arah kiblat ditempat baru yg gak ada petunjuknya,3,1
4399,BG. budi01gaming,Coba,1,0
4713,Aswin Putra,"Bingung tiap kali download murotal nya, connection reset terus. Server nya nih masalah",3,0
4726,Iskandar Syahputra,ga bisa download audio nya,2,0
4744,Naufal Fajri,"Tajwid warnanya tidak muncul, padahal sudah diaktifkan",2,0
4769,Mahmud Aula,Aku sangat suka aplikasi ini karena bisa diputar per ayat & mempermudah dalam proses hafalan. Tolong tambahkan Qari Abdullah Al juhani,3,1
4805,nurul anzila,Arti Al Maidah 51 telah diubah tidak sesuai dgn arti aslinya lagi demi muatan politik.,1,0
4908,Musa Bos,"It's almost disgusting to see that an app that should glorify God let greed be part of it in the form of ads... let mammon (god of money) be outside of this, do not disgrace holy books people... or is this greed the true expression or projection of Islam?",1,0
4909,AppleTea 0,"Sebenarnya aneh buat saya: koq buku suci ini ada unsur2 uang, kerakusan - pake iklan2 begitu? Malu dong sama app alkitab, mereka ga pake iklan2 yg mengganggu pembaca kitab suci",1,0
4932,senoagung negoro,"I used this app very frequently, I gave this updated rating due to your posting in Instagram that might lead to dispute in society. Hopefully, you guys can adjust your campaign strategy. Salam",1,0
4940,lia watifeb,"Enggada notifikasi saat adzan, padahal sudah di klik dipengaturan",3,0
4997,Ade Irma,Too much adds,3,0
5147,ilyasjayakusuma,"Tolong sebaiknya ditambahkan Asbabun Nuzul, jadi bisa lebih mengetahui sebab apa ayat itu diturunkan.",3,0
5273,Fifi Ditya,Bagus,1,1
5301,Rizka Avianty,"Yg baru sdh ada iklan, tdk sprt yg lama ??",3,0
5325,Muhammad Albar Hakim,Tanda baca jim nya banyak yg gak ada,2,0
5415,Liana Lestari,Kurang warna tajwid nya :(,1,0
5424,suci anggreani,Kenapa tajwid berwarnanya gak keluar di hape? Apakah harus install ulang?!,3,0
5511,Nothing to Lose,Banyak typo to terjemahannya. Gak ada editor.,2,0
5543,Seis Wibowo,"aplikasi baik, mohon sempurnakan dengan waqaf ibtida, sy akan beri bintang 5. gpp bayar, kekurangannya cuma 1 itu aja",3,1
5661,anantia prakasa,No search facility to get name of surah...,3,0
5703,Indra Gunawan,It's fine,3,1
5797,Arifah Hikmah,"kalau layar mati, audio juga ikut mati",3,0
5812,Balya M Izzat,"Bagus aplikasinya, tapi kok banyak ayat yg kepotong gk sesuai ejaan katanya. Jadi mohon jadi perhatian...",3,1
5835,Rabbe Hossain,English,3,0
5850,Choma Umi,"bagus memang tapi kenapa tiap kali mau baca alquran yang kebuka surat terakhir yang di baca, jadi mesti geser2 dari awal, ada yang tau gimana caranya supaya surat yang mau saya baca langsung terbuka di surat tsb bukan yang terakhir dibaca.thanks",3,1
5907,BangDhon gaming,Admin. Apa karena saya belum update ya. Saya menemukan bug pada surah al ahzab ayat 56. Yakni saat menyalin ayat. Lalu menempelkannya pada clipboard. Yg sebelumnya wa sallimu menjadi wa sallamu,3,0
5937,SRI ENDAH EKA RISTININGSIH,Adzan hanya aktif saat ada koneksi internet,3,0
6104,TAKA Videos,Kebanyakan iklan. Dikira Tv mungkin. Very much ads after read surah. Thanks. Admin aplikasi tidak ada respon.,1,0
6122,Susi Oktavia,"I like this apps, until an ad keeps popping up asking me to check Instagram. I don't use Instagram and don't plan to use it. Please give me an option to remove that ad.",2,1
6142,Ifan Vanda,The praying time is wrong... especially ashar time.,2,0
6145,Asep Sulaeman,"Suara azan sering tidak berbunyi, padahal sudah di setting azan on. Kadang bunyi, tapi seringnya tidak ada. Gak tahu dimana letak kesalahannya, mungkin ada bugs",3,0
6177,SHINTASUN -,"Dari dulu pake Apk. ini dan kebantu bangun, tapi sekarang kalo mode pesawat/gak ada internet, adzannya gak bunyi. Padahal efektif banget bangunin subuh, karena ketika tidur biasanya mode pesawat",3,0
6188,Awaludin Wongkewong,... . .. 4. I.nbnn. . ....... . Nnu,2,0
6287,Nashrullah Abdul Mujib,"tolong kembalikan fitur personalisasi waktu sholat pada metode perhitungan otomatis. terutama untuk waktu imsak, karena itu sangat membantu pengguna untuk memiliki spare waktu yang beragam untuk bersiap sholat shubuh tanpa mengganggu waktu adzan shubuh.",2,0
6423,Nashir M,"User experience nya kurang bagus, saya mau lihat waktu sholat harus buka app nya dulu terus klik waktu sholat, merepotkan, harusnya sih ketika buka app langsung masuk branda dan langsung ada tulisan waktu sholat, terus untuk menu lainya tinggal menyesuikan deh",2,0
6436,Anggraini Kusumawardhani,"Alarm adzannya kok gak bunyi otomatis ya sudah 3 tahunan ini , ini install yg ke 2x. Install yg pertama alarm adzan, saat tiba waktu shalat, berbunyi. Sekarang tidak berbunyi",3,0
6561,Javi Zar,Why when I searching Isa or Almasih I cannot?,2,0
6577,Erna Rahma,??,3,0
6583,Richardo Fernando,This app doesnt work properly when i click any surah it shows An-Nas i have to swipe to find the surah ??????,1,0
6636,Alvaro Aldi,Yoi bisa menghafal banyak surat,2,0
6650,abu abdillah,terjemahan surat Shad ayat 75 tidak sesuai,1,0
6707,tursilah romelah,good,3,1
6760,Keumala Ayucita,"Tidak ada jadwal sholat di iOS, tolong ditambahkan nanti saya beri bintang 5",3,0
6766,Muhammad Fikri Raharjo,Menurut saya jikalau ditambah sama almatsurat akan lebih baik,3,1
6785,wahyudi adiguna,"Tolong doooong....!!!!!...Fitur jarum penunjuk arah kiblat tidak berfungsi,",3,0
6847,veyyazel,tolong tambahin fitur Profil. jadi bisa dibackup. ini penting banget. thanks.,2,0
6883,Aris Setiawan,Layak mendapat rating 4.5 tapi saya beri 3 agar dibaca. Bagaimana jika menambahkan fitur semacam button on/off untuk menampilkan tajwid saat SAAT MEMBACA sehingga lebih mudah untuk belajar. Pengaturan tajwid yang ada saat ini terlalu jauh/ribet untuk di on/off kan.,3,0
6912,aisyah nrdh,suara adzan tidak bunyi,3,0
6943,KM,"di notif aplikasi pas dibuka, tulisannya memperbarui hanya butuh 5 mb. tapi pas diperbarui diplaystore jd 15 mb. aplikasi ini terus-terusan muncul notifikasi memperbarui padahal setelah diperbarui, tidak memperbaiki apapun. sama saja fungsinya.",3,0
7084,Masakini Photo,Iklannya ganggu.. apalagi iklan tiktok sexy dan ytub random,3,0
